#Name	Contact1	Contact2
R1	(17312,13152,0)	(17312,13152,1)
R2	(24848,12688,0)	(24848,12688,1)
R3	(35136,13120,0)	(35136,13120,1)
R4	(28880,15280,0)	(28880,15280,1)
R5	(21984,14832,0)	(21984,14832,1)
R6	(11552,16720,0)	(11552,16720,1)
R7	(17520,15472,38)	(17520,15472,39)
R8	(11296,13360,38)	(11296,13360,39)
R9	(26720,16368,38)	(26720,16368,39)
R10	(30400,12624,38)	(30400,12624,39)
R11	(33392,15360,38)	(33392,15360,39)
R12	(27664,12640,181)	(27664,12640,182)
R13	(23168,15152,181)	(23168,15152,182)
R14	(15008,16112,181)	(15008,16112,182)
R15	(13936,17968,181)	(13936,17968,182)
R16	(14128,11760,181)	(14128,11760,182)
R17	(28032,11712,181)	(28032,11712,182)
R18	(33888,15168,181)	(33888,15168,182)
R19	(28592,13888,181)	(28592,13888,182)
R20	(19840,14432,525)	(19840,14432,526)
R21	(11728,14560,525)	(11728,14560,526)
R22	(23248,11776,525)	(23248,11776,526)
R23	(33376,15616,525)	(33376,15616,526)
R24	(25280,13936,689)	(25280,13936,690)
R25	(33312,12416,689)	(33312,12416,690)
R26	(23536,16928,689)	(23536,16928,690)
R27	(16224,17104,689)	(16224,17104,690)
R28	(11936,15392,689)	(11936,15392,690)
R29	(21600,13184,689)	(21600,13184,690)
R30	(26000,14208,803)	(26000,14208,804)
R31	(26848,10752,803)	(26848,10752,804)
R32	(15280,17104,803)	(15280,17104,804)
R33	(32912,16000,803)	(32912,16000,804)
R34	(33024,11504,803)	(33024,11504,804)
R35	(31600,11104,1010)	(31600,11104,1011)
R36	(30880,12800,1010)	(30880,12800,1011)
R37	(18800,12272,1152)	(18800,12272,1153)
R38	(16608,16272,1152)	(16608,16272,1153)
R39	(23104,14928,1152)	(23104,14928,1153)
R40	(26720,12480,1152)	(26720,12480,1153)
R41	(30896,11776,1152)	(30896,11776,1153)
R42	(36368,13840,1152)	(36368,13840,1153)
R43	(33088,13712,1152)	(33088,13712,1153)
R44	(33568,11936,1317)	(33568,11936,1318)
R45	(18016,12192,1317)	(18016,12192,1318)
R46	(18048,14912,1317)	(18048,14912,1318)
R47	(16384,13552,1317)	(16384,13552,1318)
R48	(23248,13360,1317)	(23248,13360,1318)
R49	(30976,9776,1317)	(30976,9776,1318)
R50	(33904,14992,1317)	(33904,14992,1318)
R51	(36720,11680,1317)	(36720,11680,1318)
R52	(22240,12352,1547)	(22240,12352,1548)
R53	(21440,15072,1547)	(21440,15072,1548)
R54	(27840,12608,1547)	(27840,12608,1548)
R55	(32544,12288,1547)	(32544,12288,1548)
R56	(38560,9920,1547)	(38560,9920,1548)
R57	(39744,12096,1547)	(39744,12096,1548)
R58	(26560,9728,1820)	(26560,9728,1821)
R59	(21376,10432,1820)	(21376,10432,1821)
R60	(22080,12992,1820)	(22080,12992,1821)
R61	(32768,10688,1820)	(32768,10688,1821)
R62	(35136,13760,1820)	(35136,13760,1821)
R63	(39104,9856,1820)	(39104,9856,1821)
R64	(41088,11712,1820)	(41088,11712,1821)
R65	(20800,9472,2020)	(20800,9472,2021)
R66	(23552,12416,2020)	(23552,12416,2021)
R67	(28672,9792,2020)	(28672,9792,2021)
R68	(33280,8896,2020)	(33280,8896,2021)
R69	(30720,11264,2020)	(30720,11264,2021)
R70	(42240,9600,2020)	(42240,9600,2021)
R71	(40128,11648,2020)	(40128,11648,2021)
R72	(20960,10272,2334)	(20960,10272,2335)
R73	(27648,9696,2334)	(27648,9696,2335)
R74	(33536,11360,2334)	(33536,11360,2335)
R75	(40736,10368,2334)	(40736,10368,2335)
R76	(38848,12928,2334)	(38848,12928,2335)
R77	(29440,11584,2334)	(29440,11584,2335)
R78	(33152,11648,2334)	(33152,11648,2335)
R79	(41760,9152,2334)	(41760,9152,2335)
R80	(19104,8448,2502)	(19104,8448,2503)
R81	(18720,12944,2502)	(18720,12944,2503)
R82	(23760,10336,2502)	(23760,10336,2503)
R83	(23104,12176,2502)	(23104,12176,2503)
R84	(30240,11424,2502)	(30240,11424,2503)
R85	(32176,9248,2502)	(32176,9248,2503)
R86	(39104,9488,2502)	(39104,9488,2503)
R87	(39664,11936,2502)	(39664,11936,2503)
R88	(32848,11136,2502)	(32848,11136,2503)
R89	(26768,11648,2502)	(26768,11648,2503)
R90	(25264,14272,2511)	(25264,14272,2512)
