#Name	Contact1	Contact2
R1	(20288,40032,0)	(20288,40032,1)
R2	(12992,39264,0)	(12992,39264,1)
R3	(13632,44320,0)	(13632,44320,1)
R4	(20352,44960,0)	(20352,44960,1)
R5	(32416,43264,0)	(32416,43264,1)
R6	(34016,41888,0)	(34016,41888,1)
R7	(30976,47232,217)	(30976,47232,218)
R8	(22480,44408,217)	(22480,44408,218)
R9	(17408,47400,217)	(17408,47400,218)
R10	(13800,46040,217)	(13800,46040,218)
R11	(12280,49760,217)	(12280,49760,218)
R12	(15672,49400,536)	(15672,49400,537)
R13	(17472,47936,536)	(17472,47936,537)
R14	(17504,44080,536)	(17504,44080,537)
R15	(15096,43592,536)	(15096,43592,537)
R16	(24392,41544,536)	(24392,41544,537)
R17	(27088,38640,536)	(27088,38640,537)
R18	(26528,31776,536)	(26528,31776,537)
R19	(19328,32304,536)	(19328,32304,537)
R20	(35008,29288,536)	(35008,29288,537)
R21	(34040,34264,536)	(34040,34264,537)
R22	(34192,42224,536)	(34192,42224,537)
R23	(34968,50048,536)	(34968,50048,537)
R24	(19616,49312,936)	(19616,49312,937)
R25	(19680,46744,936)	(19680,46744,937)
R26	(20896,43520,936)	(20896,43520,937)
R27	(22256,32944,936)	(22256,32944,937)
R28	(15160,34544,936)	(15160,34544,937)
R29	(11040,38328,936)	(11040,38328,937)
R30	(11344,35920,936)	(11344,35920,937)
R31	(11976,42224,936)	(11976,42224,937)
R32	(13984,44544,936)	(13984,44544,937)
R33	(30480,39736,936)	(30480,39736,937)
R34	(31672,40032,1056)	(31672,40032,1057)
R35	(34240,47056,1056)	(34240,47056,1057)
R36	(33064,48272,1056)	(33064,48272,1057)
R37	(27704,48664,1056)	(27704,48664,1057)
R38	(24176,46376,1056)	(24176,46376,1057)
R39	(23056,49032,1056)	(23056,49032,1057)
R40	(25456,47168,1065)	(25456,47168,1066)
R41	(36208,45696,1065)	(36208,45696,1066)
R42	(37584,39680,1065)	(37584,39680,1066)
R43	(37232,36808,1065)	(37232,36808,1066)
R44	(35160,34400,1076)	(35160,34400,1077)
R45	(29448,32536,1076)	(29448,32536,1077)
R46	(21212,31760,1101)	(21212,31760,1102)
R47	(21648,32800,1101)	(21648,32800,1102)
R48	(12936,34296,1101)	(12936,34296,1102)
R49	(12016,33676,1101)	(12016,33676,1102)
R50	(14896,42144,1101)	(14896,42144,1102)
R51	(13040,47792,1101)	(13040,47792,1102)
R52	(20592,46720,1101)	(20592,46720,1102)
R53	(20336,47032,1366)	(20336,47032,1367)
R54	(19320,42096,1366)	(19320,42096,1367)
R55	(15840,36992,1366)	(15840,36992,1367)
R56	(21408,37448,1387)	(21408,37448,1388)
R57	(25488,32968,1387)	(25488,32968,1388)
R58	(31896,45744,1611)	(31896,45744,1612)
R59	(30408,48184,1611)	(30408,48184,1612)
R60	(19472,31720,1696)	(19472,31720,1697)
R61	(21360,33224,1696)	(21360,33224,1697)
R62	(24192,34656,1696)	(24192,34656,1697)
R63	(23472,45312,1696)	(23472,45312,1697)
R64	(23904,46432,1831)	(23904,46432,1832)
R65	(32592,41328,1831)	(32592,41328,1832)
R66	(37312,37936,1831)	(37312,37936,1832)
R67	(38720,37312,1870)	(38720,37312,1871)
R68	(40688,32112,1870)	(40688,32112,1871)
R69	(41248,29952,1892)	(41248,29952,1893)
R70	(33712,32752,1892)	(33712,32752,1893)
R71	(28352,30608,1936)	(28352,30608,1937)
R72	(26416,29392,1995)	(26416,29392,1996)
R73	(20616,29424,1995)	(20616,29424,1996)
R74	(38048,26120,1995)	(38048,26120,1996)
R75	(42032,24976,2066)	(42032,24976,2067)
R76	(39296,30016,2277)	(39296,30016,2278)
R77	(40624,34160,2277)	(40624,34160,2278)
R78	(36256,38688,2277)	(36256,38688,2278)
R79	(26128,41376,2277)	(26128,41376,2278)
R80	(31648,41168,2277)	(31648,41168,2278)
R81	(28480,41472,2384)	(28480,41472,2385)
R82	(24960,39840,2502)	(24960,39840,2503)
R83	(18368,43808,2502)	(18368,43808,2503)
R84	(37472,45440,2502)	(37472,45440,2503)
R85	(28960,44000,2502)	(28960,44000,2503)
R86	(37888,36704,2502)	(37888,36704,2503)
R87	(34208,35680,2502)	(34208,35680,2503)
R88	(21792,31968,2502)	(21792,31968,2503)
R89	(30528,32576,2502)	(30528,32576,2503)
R90	(39680,29568,2502)	(39680,29568,2503)
