#Name	Contact1	Contact2
R1	(27120,24064,0)	(27120,24064,1)
R2	(24192,25488,0)	(24192,25488,1)
R3	(31840,24288,0)	(31840,24288,1)
R4	(35448,22736,0)	(35448,22736,1)
R5	(18912,24576,0)	(18912,24576,1)
R6	(21584,28240,168)	(21584,28240,169)
R7	(27856,26088,168)	(27856,26088,169)
R8	(36288,25848,168)	(36288,25848,169)
R9	(12888,23040,168)	(12888,23040,169)
R10	(21464,26232,209)	(21464,26232,210)
R11	(15984,25216,209)	(15984,25216,210)
R12	(13840,25136,209)	(13840,25136,210)
R13	(30520,23240,209)	(30520,23240,210)
R14	(35560,22752,224)	(35560,22752,225)
R15	(28200,23400,224)	(28200,23400,225)
R16	(26176,23592,224)	(26176,23592,225)
R17	(18248,26832,224)	(18248,26832,225)
R18	(14360,27312,224)	(14360,27312,225)
R19	(31720,22800,512)	(31720,22800,513)
R20	(30376,22528,512)	(30376,22528,513)
R21	(26048,24744,512)	(26048,24744,513)
R22	(20776,24880,512)	(20776,24880,513)
R23	(33284,25804,512)	(33284,25804,513)
R24	(29224,23048,712)	(29224,23048,713)
R25	(26472,23320,712)	(26472,23320,713)
R26	(22680,26672,712)	(22680,26672,713)
R27	(11808,24208,712)	(11808,24208,713)
R28	(35248,24048,712)	(35248,24048,713)
R29	(28936,23496,816)	(28936,23496,817)
R30	(27812,22880,816)	(27812,22880,817)
R31	(28572,23516,816)	(28572,23516,817)
R32	(34092,23968,816)	(34092,23968,817)
R33	(29260,23252,848)	(29260,23252,849)
R34	(27728,26308,848)	(27728,26308,849)
R35	(28100,22700,848)	(28100,22700,849)
R36	(25504,22952,848)	(25504,22952,849)
R37	(23784,22300,848)	(23784,22300,849)
R38	(13160,24040,848)	(13160,24040,849)
R39	(21340,27060,848)	(21340,27060,849)
R40	(23300,25488,1248)	(23300,25488,1249)
R41	(18344,23412,1248)	(18344,23412,1249)
R42	(15320,23072,1248)	(15320,23072,1249)
R43	(26808,21672,1248)	(26808,21672,1249)
R44	(32380,22036,1248)	(32380,22036,1249)
R45	(40048,22964,1248)	(40048,22964,1249)
R46	(35816,21128,1736)	(35816,21128,1737)
R47	(38940,20092,1736)	(38940,20092,1737)
R48	(44852,18092,1736)	(44852,18092,1737)
R49	(44952,18564,1736)	(44952,18564,1737)
R50	(42516,19640,1736)	(42516,19640,1737)
R51	(40768,21892,1736)	(40768,21892,1737)
R52	(38730,24192,1736)	(38730,24192,1737)
R53	(37560,23144,1736)	(37560,23144,1737)
R54	(31464,22344,1736)	(31464,22344,1737)
R55	(20376,22488,1736)	(20376,22488,1737)
R56	(18400,23760,1736)	(18400,23760,1737)
R57	(38320,19656,2144)	(38320,19656,2145)
R58	(33160,22672,2144)	(33160,22672,2145)
R59	(30560,20104,2144)	(30560,20104,2145)
R60	(23384,21904,2144)	(23384,21904,2145)
R61	(22768,22616,2160)	(22768,22616,2161)
R62	(23528,21736,2176)	(23528,21736,2177)
R63	(18904,21712,2176)	(18904,21712,2177)
R64	(26784,21456,2176)	(26784,21456,2177)
R65	(31744,18880,2176)	(31744,18880,2177)
R66	(38600,22736,2176)	(38600,22736,2177)
R67	(41896,16992,2176)	(41896,16992,2177)
R68	(33064,18488,2176)	(33064,18488,2177)
R69	(28112,19336,2176)	(28112,19336,2177)
R70	(21568,20848,2176)	(21568,20848,2177)
R71	(19016,21720,2176)	(19016,21720,2177)
R72	(19472,18888,2176)	(19472,18888,2177)
R73	(32084,19984,2464)	(32084,19984,2465)
R74	(33904,18560,2464)	(33904,18560,2465)
R75	(36248,17736,2464)	(36248,17736,2465)
R76	(37196,20036,2464)	(37196,20036,2465)
R77	(36044,20568,2464)	(36044,20568,2465)
R78	(33616,22380,2464)	(33616,22380,2465)
R79	(36708,22652,2480)	(36708,22652,2481)
R80	(43892,20248,2480)	(43892,20248,2481)
R81	(41632,22208,2510)	(41632,22208,2511)
R82	(37200,19632,2510)	(37200,19632,2511)
R83	(38368,18440,2510)	(38368,18440,2511)
R84	(36176,17792,2510)	(36176,17792,2511)
R85	(32016,19816,2510)	(32016,19816,2511)
R86	(17424,22284,2510)	(17424,22284,2511)
R87	(16728,24224,2510)	(16728,24224,2511)
R88	(17496,23652,2510)	(17496,23652,2511)
R89	(42888,16800,2510)	(42888,16800,2511)
R90	(31912,19808,2511)	(31912,19808,2512)
